biosample_id,aminoglycoside,beta-lactam,colistin,fosfomycin,fusidic_acid,glycopeptide,macrolide,nitroimidazole,oxazolidinone,phenicol,quinolone,rifampicin,sulfonamide,tetracycline,trimethoprim
40889915,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
54529271,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54802006,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
53668798,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1
54496757,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
54764853,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
54456457,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
48146744,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1
54767677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54769195,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54766460,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1
40889907,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
54353762,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
54529263,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54769199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54781218,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1
54586887,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
54496726,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
54803311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54765990,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1
54763062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40889919,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
54764841,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
48146656,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
54596230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54754372,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
37705098,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40889931,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
54450611,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54590648,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
54751646,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
54803415,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1
46183442,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
