biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54869218,SAMEA121013105,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54867851,SAMEA121013101,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54867356,SAMEA121013106,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54864580,SAMEA121013100,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54864180,SAMEA121013107,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54864175,SAMEA121013102,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54862153,SAMEA121013104,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54857032,SAMEA121013110,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54856805,SAMEA121013109,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54856443,SAMEA121013108,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54856103,SAMEA121013111,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54855011,SAMEA121013103,Streptococcus pneumoniae,,Blood,,,,,,,,,,,,Streptococcus pneumoniae
54572409,SAMN54572409,,D39 rpsL WT,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572408,SAMN54572408,,D39 7A 37-CE,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572407,SAMN54572407,,D39 + 6B,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572406,SAMN54572406,,D39 6B 37-CE,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572405,SAMN54572405,,D39 + 6A,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572404,SAMN54572404,,D39 33B 37-CE,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572403,SAMN54572403,,D39 + 19C,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572402,SAMN54572402,,D39 + [19C-f],,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572401,SAMN54572401,,D39 + [19C-f] + [6B 37-CE],,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572400,SAMN54572400,,D39 + [19C-f] + [6A 37-CE],,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572399,SAMN54572399,,D39 + [19C-f] + [19C 37-CE],,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572398,SAMN54572398,,D39 19C 37-CE,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572397,SAMN54572397,,D39 17A 37-CE,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572396,SAMN54572396,,6B WT,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572395,SAMN54572395,,6A WT,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54572394,SAMN54572394,,19C WT,,Homo sapiens,2025,"USA: Birmingham, Alabama",,,,,,,,,Streptococcus pneumoniae
54747231,SAMEA116304095,,,,,,,,,,,,,,,Streptococcus pneumoniae
54746823,SAMEA116304227,,,,,,,,,,,,,,,Streptococcus pneumoniae
54746466,SAMEA116304048,,,,,,,,,,,,,,,Streptococcus pneumoniae
54745696,SAMEA116304340,,,,,,,,,,,,,,,Streptococcus pneumoniae
54744544,SAMEA116304537,,,,,,,,,,,,,,,Streptococcus pneumoniae
54529576,SAMN54529576,,,,Homo sapiens,,,,,,,GCA_054416335.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/335/GCA_054416335.1_PDT003048783.1,Streptococcus pneumoniae
54529575,SAMN54529575,,,,Homo sapiens,,,,,,,GCA_054416345.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/345/GCA_054416345.1_PDT003048784.1,Streptococcus pneumoniae
54529571,SAMN54529571,,,,Homo sapiens,,,,,,,GCA_054416475.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/475/GCA_054416475.1_PDT003048775.1,Streptococcus pneumoniae
54529568,SAMN54529568,,,,Homo sapiens,,,,,,,GCA_054416455.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/455/GCA_054416455.1_PDT003048778.1,Streptococcus pneumoniae
54529567,SAMN54529567,,,,Homo sapiens,,,,,,,GCA_054416435.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/435/GCA_054416435.1_PDT003048779.1,Streptococcus pneumoniae
54529565,SAMN54529565,,,,Homo sapiens,,,,,,,GCA_054416315.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/315/GCA_054416315.1_PDT003048786.1,Streptococcus pneumoniae
54680646,SAMN54680646,,LACPHL-SPEC-2026-00028,,Homo sapiens,,,,,,,GCA_054505385.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/385/GCA_054505385.1_PDT003054873.1,Streptococcus pneumoniae
54680643,SAMN54680643,,LACPHL-SPEC-2026-00025,,Homo sapiens,,,,,,,GCA_054505565.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/565/GCA_054505565.1_PDT003054861.1,Streptococcus pneumoniae
54680642,SAMN54680642,,LACPHL-SPEC-2026-00024,,Homo sapiens,,,,,,,GCA_054505545.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/545/GCA_054505545.1_PDT003054862.1,Streptococcus pneumoniae
54609264,SAMEA115840572,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608823,SAMEA115840623,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608695,SAMEA115840600,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608669,SAMEA115840514,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608552,SAMEA115840502,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608545,SAMEA115840538,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608465,SAMEA115840576,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608464,SAMEA115921612,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608337,SAMEA115840615,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608246,SAMEA115840589,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608079,SAMEA115840614,,,,,,,,,,,,,,,Streptococcus pneumoniae
54608001,SAMEA115840494,,,,,,,,,,,,,,,Streptococcus pneumoniae
54607952,SAMEA115840622,,,,,,,,,,,,,,,Streptococcus pneumoniae
54607693,SAMEA115840499,,,,,,,,,,,,,,,Streptococcus pneumoniae
54607515,SAMEA115840510,,,,,,,,,,,,,,,Streptococcus pneumoniae
54607487,SAMEA115840483,,,,,,,,,,,,,,,Streptococcus pneumoniae
54607455,SAMEA115840566,,,,,,,,,,,,,,,Streptococcus pneumoniae
54607446,SAMEA115840553,,,,,,,,,,,,,,,Streptococcus pneumoniae
54607290,SAMEA115840552,,,,,,,,,,,,,,,Streptococcus pneumoniae
54607219,SAMEA115840507,,,,,,,,,,,,,,,Streptococcus pneumoniae
54606965,SAMEA115840596,,,,,,,,,,,,,,,Streptococcus pneumoniae
54606637,SAMEA115840575,,,,,,,,,,,,,,,Streptococcus pneumoniae
