biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54792268,SAMEA120937308,,,human vagina,,,,,,,,,,,,Enterococcus faecalis
54792156,SAMEA120937443,,,human vagina,,,,,,,,,,,,Enterococcus faecalis
54791858,SAMEA120937581,,,human vagina,,,,,,,,,,,,Enterococcus faecalis
54787660,SAMEA120937430,,,human vagina,,,,,,,,,,,,Enterococcus faecalis
54783173,SAMEA120937442,,,human vagina,,,,,,,,,,,,Enterococcus faecalis
54779518,SAMEA120937322,,,human vagina,,,,,,,,,,,,Enterococcus faecalis
54779346,SAMEA120937469,,,human vagina,,,,,,,,,,,,Enterococcus faecalis
54777311,SAMEA120937420,,,human vagina,,,,,,,,,,,,Enterococcus faecalis
54803489,SAMN54803489,,FSIS12642607,Animal-Turkey-Young Turkey (cecal),,2026,USA:OH,,,,,GCA_054656275.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/275/GCA_054656275.1_PDT003064293.1,Enterococcus faecalis
54803418,SAMN54803418,,FSIS12642606,Animal-Cattle-Beef Cow (cecal),,2026,USA:MI,,,,,GCA_054656355.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/355/GCA_054656355.1_PDT003064285.1,Enterococcus faecalis
54803414,SAMN54803414,,FSIS12642602,Animal-Chicken-Young Chicken (cecal),,2026,USA:GA,,,,,GCA_054656455.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/455/GCA_054656455.1_PDT003064280.1,Enterococcus faecalis
54803397,SAMN54803397,,FSIS12642603,Animal-Chicken-Young Chicken (cecal),,2025,USA:VA,,,,,GCA_054656575.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/575/GCA_054656575.1_PDT003064275.1,Enterococcus faecalis
54803313,SAMN54803313,,FSIS12642500,Animal-Chicken-Young Chicken (cecal),,2025,USA:AR,,,,,GCA_054656755.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/755/GCA_054656755.1_PDT003064265.1,Enterococcus faecalis
54803312,SAMN54803312,,FSIS12642501,Animal-Turkey-Young Turkey (cecal),,2025,USA:NY,,,,,GCA_054656685.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/685/GCA_054656685.1_PDT003064266.1,Enterococcus faecalis
54803309,SAMN54803309,,FSIS12642609,Animal-Turkey-Young Turkey (cecal),,2026,USA:PA,,,,,GCA_054652275.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/275/GCA_054652275.1_PDT003064187.1,Enterococcus faecalis
54803308,SAMN54803308,,FSIS12642499,Animal-Turkey-Young Turkey (cecal),,2025,USA:IN,,,,,GCA_054652335.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/335/GCA_054652335.1_PDT003064185.1,Enterococcus faecalis
54803290,SAMN54803290,,FSIS12642498,Animal-Swine-Market Swine (cecal),,2025,USA:IL,,,,,GCA_054652355.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/355/GCA_054652355.1_PDT003064181.1,Enterococcus faecalis
54803289,SAMN54803289,,FSIS12642497,Animal-Swine-Market Swine (cecal),,2025,USA:CA,,,,,GCA_054652315.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/315/GCA_054652315.1_PDT003064184.1,Enterococcus faecalis
54803062,SAMN54803062,,FSIS12642494,Animal-Chicken-Young Chicken (cecal),,2025,USA:NC,,,,,GCA_054652395.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/395/GCA_054652395.1_PDT003064175.1,Enterococcus faecalis
54803061,SAMN54803061,,FSIS12642493,Animal-Turkey-Young Turkey (cecal),,2025,USA:MN,,,,,GCA_054652415.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/415/GCA_054652415.1_PDT003064174.1,Enterococcus faecalis
54802957,SAMN54802957,,FSIS12642490,Animal-Chicken-Young Chicken (cecal),,2025,USA:CA,,,,,GCA_054652515.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/515/GCA_054652515.1_PDT003064170.1,Enterococcus faecalis
54798595,SAMN54798595,,A124_8,outpatient,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798593,SAMN54798593,,A111_4,emergency,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798581,SAMN54798581,,A88_3,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798562,SAMN54798562,,A57_3,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798556,SAMN54798556,,QC_21_4,outpatient,,2024-10-24,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798555,SAMN54798555,,HO44,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798554,SAMN54798554,,HO43,outpatient,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798553,SAMN54798553,,HO42,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798552,SAMN54798552,,HO41,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798551,SAMN54798551,,HO40,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798550,SAMN54798550,,HO39,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798549,SAMN54798549,,HO38,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798548,SAMN54798548,,HO37,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798547,SAMN54798547,,HO36,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798546,SAMN54798546,,HO35,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798545,SAMN54798545,,HO34,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54798544,SAMN54798544,,HO33,emergency,,2025-06-10,China: Zhejiang,,,,,,,,,Enterococcus faecalis
54773707,SAMN54773707,,JH2-2-LTVRE-2,,Homo sapiens,2025,China,,,,,,,,,Enterococcus faecalis
54773706,SAMN54773706,,JH2-2-LTVRE-1,,Homo sapiens,2025,China,,,,,,,,,Enterococcus faecalis
46890404,SAMN46890404,,,stool,,not applicable,missing,,,,,,,,,Enterococcus faecalis
46889797,SAMN46889797,,,stool,,not applicable,missing,,,,,,,,,Enterococcus faecalis
46889795,SAMN46889795,,,stool,,not applicable,missing,,,,,,,,,Enterococcus faecalis
46889789,SAMN46889789,,,stool,,not applicable,missing,,,,,,,,,Enterococcus faecalis
46889549,SAMN46889549,,,stool,,not applicable,missing,,,,,,,,,Enterococcus faecalis
54762902,SAMN54762902,,1594,faces,animal,2024-07,China,,,,,,,,,Enterococcus faecalis
54747717,SAMEA116304673,,,,,,,,,,,,,,,Enterococcus faecalis
54746399,SAMEA116304565,,,,,,,,,,,,,,,Enterococcus faecalis
54744838,SAMEA116304074,,,,,,,,,,,,,,,Enterococcus faecalis
53301940,SAMN53301940,,E187,sputum,Homo sapiens,2021-07-17,Turkey,,,,,GCF_054391415.1,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/391/415/GCF_054391415.1_ASM5439141v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/391/415/GCA_054391415.1_ASM5439141v1,Enterococcus faecalis
53301939,SAMN53301939,,E184,sputum,Homo sapiens,2021-04-20,Turkey,,,,,GCF_054391455.1,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/391/455/GCF_054391455.1_ASM5439145v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/391/455/GCA_054391455.1_ASM5439145v1,Enterococcus faecalis
53301938,SAMN53301938,,E5,Apirate,Homo sapiens,2021-03-15,Turkey,,,,,GCF_054391435.1,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/391/435/GCF_054391435.1_ASM5439143v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/391/435/GCA_054391435.1_ASM5439143v1,Enterococcus faecalis
54693077,SAMEA120862814,,,,,,,,,,,,,,,Enterococcus faecalis
54706047,SAMN54706047,,EF126,,Homo sapiens,2023-09-28,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706046,SAMN54706046,,EF143,,Homo sapiens,2023-09-26,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706045,SAMN54706045,,EF173,,Homo sapiens,2023-09-25,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706044,SAMN54706044,,EF181,,Homo sapiens,2023-09-24,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706043,SAMN54706043,,EF186,,Homo sapiens,2023-09-23,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706042,SAMN54706042,,EF141,,Homo sapiens,2023-09-22,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706041,SAMN54706041,,EF107,,Homo sapiens,2023-09-21,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706040,SAMN54706040,,EF178,,Homo sapiens,2023-09-20,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706039,SAMN54706039,,EF114,,Homo sapiens,2023-09-19,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706038,SAMN54706038,,EF160,,Homo sapiens,2023-09-18,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706037,SAMN54706037,,EF139,,Homo sapiens,2023-09-17,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706036,SAMN54706036,,EF106,,Homo sapiens,2023-09-16,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706035,SAMN54706035,,EF193,,Homo sapiens,2023-09-15,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706034,SAMN54706034,,EF187,,Homo sapiens,2023-09-13,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706033,SAMN54706033,,EF150,,Homo sapiens,2023-09-12,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54706032,SAMN54706032,,EF170,,Homo sapiens,2023-09-11,"USA: Chicago, IL",,,,,,,,,Enterococcus faecalis
54589682,SAMN54589682,,,NA,Homo sapiens,NA,NA,,,,,GCA_054612435.1,Scaffold,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/612/435/GCA_054612435.1_ASM5461243v1,Enterococcus faecalis
54587424,SAMN54587424,,,,Homo sapiens,NA,NA,,,,,GCA_054612415.1,Scaffold,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/612/415/GCA_054612415.1_ASM5461241v1,Enterococcus faecalis
54577667,SAMN54577667,,,urinary tract,Homo sapiens,NA,NA,,,,,GCA_054612355.1,Scaffold,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/612/355/GCA_054612355.1_ASM5461235v1,Enterococcus faecalis
54572053,SAMN54572053,,C6-7,breast milk,Homo sapiens,2019-05-28,Mexico,,,,,GCA_054612255.1,Scaffold,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/612/255/GCA_054612255.1_ASM5461225v1,Enterococcus faecalis
54557916,SAMN54557916,,UMB1509,,Homo sapiens,NA,NA,,,,,GCA_054611715.1,Scaffold,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/611/715/GCA_054611715.1_ASM5461171v1,Enterococcus faecalis
54685871,SAMN54685871,,not applicable,Oral swab,Homo sapiens,2022-06-29,Australia: Adelaide,,,,,,,,,Enterococcus faecalis
54685824,SAMN54685824,,not applicable,Tumour,Homo sapiens,2022-01-12,Australia: Adelaide,,,,,,,,,Enterococcus faecalis
54559362,SAMN54559362,,C5-7,intestinal tract,Mus musculus,2019-05-28,Mexico,,,,,GCA_054611895.1,Scaffold,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/611/895/GCA_054611895.1_ASM5461189v1,Enterococcus faecalis
54558830,SAMN54558830,,C4-7,breast milk,Homo sapiens,2019-05-28,Mexico,,,,,GCA_054611855.1,Scaffold,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/611/855/GCA_054611855.1_ASM5461185v1,Enterococcus faecalis
52928673,SAMN52928673,,OG1RF,Not applicable,Homo sapiens,2024-03-13,Switzerland: Lausanne,,,,,,,,,Enterococcus faecalis
52928672,SAMN52928672,,OG1RF,Not applicable,Not applicable,2024-03-13,Switzerland: Lausanne,,,,,,,,,Enterococcus faecalis
52928671,SAMN52928671,,OG1RF,Not applicable,Not applicable,2024-03-13,Switzerland: Lausanne,,,,,,,,,Enterococcus faecalis
52928670,SAMN52928670,,OG1RF,Not applicable,Not applicable,2024-03-13,Switzerland: Lausanne,,,,,,,,,Enterococcus faecalis
52928669,SAMN52928669,,OG1RF,Not applicable,Not applicable,2024-03-13,Switzerland: Lausanne,,,,,,,,,Enterococcus faecalis
46385916,SAMN46385916,,N/A,milk,,2024-05-17,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385915,SAMN46385915,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385914,SAMN46385914,,N/A,milk,,2024-05-17,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385913,SAMN46385913,,N/A,milk,,2024-05-17,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385912,SAMN46385912,,N/A,beef,,2024-03-18,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385911,SAMN46385911,,N/A,beef,,2024-01-16,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385910,SAMN46385910,,N/A,Khebab,,2024-01-16,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385909,SAMN46385909,,N/A,beef,,2024-01-16,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385908,SAMN46385908,,N/A,milk,,2024-05-17,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385907,SAMN46385907,,N/A,milk,,2024-05-17,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385906,SAMN46385906,,N/A,milk,,2024-05-17,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385905,SAMN46385905,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385904,SAMN46385904,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385903,SAMN46385903,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385902,SAMN46385902,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385901,SAMN46385901,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385900,SAMN46385900,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385899,SAMN46385899,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
46385898,SAMN46385898,,N/A,chicken,,2023-12-15,Ghana: ACCRA,,,,,,,,,Enterococcus faecalis
54612398,SAMN54612398,,5114,milk,cow,2025-10,"China:Zhanjiang,Guangdong",,,,,,,,,Enterococcus faecalis
54567427,SAMN54567427,,L7,blood,Homo sapiens,2009,Brazil: Sao Paulo,,,,,GCF_054515455.1,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/515/455/GCF_054515455.1_ASM5451545v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/515/455/GCA_054515455.1_ASM5451545v1,Enterococcus faecalis
33469234,SAMN33469234,,Ef-wfmc-01,,Homo sapiens,2022-10-29,China,,,,,,,,,Enterococcus faecalis
54497635,SAMN54497635,,FSIS12642412,Animal-Swine-Sow (cecal),,2025,USA:IL,,,,,,,,,Enterococcus faecalis
54497634,SAMN54497634,,FSIS12642411,Animal-Turkey-Young Turkey (cecal),,2025,USA:IN,,,,,GCA_054396805.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/396/805/GCA_054396805.1_PDT003047925.1,Enterococcus faecalis
54497633,SAMN54497633,,FSIS12642404,Animal-Turkey-Young Turkey (cecal),,2025,USA:MN,,,,,GCA_054397105.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/397/105/GCA_054397105.1_PDT003047923.1,Enterococcus faecalis
54497632,SAMN54497632,,FSIS12642409,Animal-Cattle-Steer (cecal),,2025,USA:MI,,,,,GCA_054396845.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/396/845/GCA_054396845.1_PDT003047924.1,Enterococcus faecalis
54497630,SAMN54497630,,FSIS12642407,Animal-Turkey-Young Turkey (cecal),,2025,USA:AR,,,,,GCA_054396865.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/396/865/GCA_054396865.1_PDT003047922.1,Enterococcus faecalis
54497627,SAMN54497627,,FSIS12642410,Animal-Turkey-Young Turkey (cecal),,2025,USA:NC,,,,,GCA_054396905.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/396/905/GCA_054396905.1_PDT003047914.1,Enterococcus faecalis
54497624,SAMN54497624,,FSIS12642401,Animal-Chicken-Young Chicken (cecal),,2025,USA:SC,,,,,,,,,Enterococcus faecalis
54496757,SAMN54496757,,FSIS12642415,Animal-Chicken-Young Chicken (cecal),,2025,USA:MS,,,,,GCA_054397175.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/397/175/GCA_054397175.1_PDT003047906.1,Enterococcus faecalis
54496756,SAMN54496756,,FSIS12642408,Animal-Chicken-Young Chicken (cecal),,2025,USA:AL,,,,,GCA_054396585.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/396/585/GCA_054396585.1_PDT003047900.1,Enterococcus faecalis
54496754,SAMN54496754,,FSIS12642399,Animal-Swine-Market Swine (cecal),,2025,USA:IA,,,,,GCA_054397235.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/397/235/GCA_054397235.1_PDT003047904.1,Enterococcus faecalis
