biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54721205,SAMN54721205,,01893610,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054543655.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/543/655/GCA_054543655.1_PDT003056034.1,Vibrio cholerae
54572002,SAMN54572002,,PNUSAV007518,missing,,2025,USA,,,,,GCA_054475385.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/475/385/GCA_054475385.1_PDT003052764.1,Vibrio cholerae
54553617,SAMN54553617,,01886499,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054471755.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/471/755/GCA_054471755.1_PDT003050127.1,Vibrio cholerae
54560773,SAMEA115094712,,,,,,,,,,,,,,,Vibrio cholerae
54549064,SAMN54549064,,PNUSAV007517,missing,,2025,USA,,,,,GCA_054440115.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/440/115/GCA_054440115.1_PDT003049260.1,Vibrio cholerae
54540151,SAMN54540151,,BG0524,stool,Homo sapiens,2024,Bulgaria,,,,,GCA_054559575.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/559/575/GCA_054559575.1_PDT003060010.1,Vibrio cholerae
54469581,SAMN54469581,,PNUSAV007513,missing,,2025,USA,,,,,GCA_054380195.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/380/195/GCA_054380195.1_PDT003046732.1,Vibrio cholerae
46168015,SAMN46168015,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168014,SAMN46168014,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168013,SAMN46168013,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168012,SAMN46168012,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168011,SAMN46168011,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168010,SAMN46168010,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168009,SAMN46168009,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168008,SAMN46168008,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168007,SAMN46168007,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
46168006,SAMN46168006,,V2s,,V. cholerae,2023-06-17,India:Chandigarh,,,,,,,,,Vibrio cholerae
45507705,SAMN45507705,,N16961,,Homo sapiens,not applicable,Bangladesh,,,,,,,,,Vibrio cholerae
45507704,SAMN45507704,,N16961,,Homo sapiens,not applicable,Bangladesh,,,,,,,,,Vibrio cholerae
45507703,SAMN45507703,,N16961,,Homo sapiens,not applicable,Bangladesh,,,,,,,,,Vibrio cholerae
45507702,SAMN45507702,,N16961,,Homo sapiens,not applicable,Bangladesh,,,,,,,,,Vibrio cholerae
45507701,SAMN45507701,,N16961,,Homo sapiens,not applicable,Bangladesh,,,,,,,,,Vibrio cholerae
45507700,SAMN45507700,,N16961,,Homo sapiens,not applicable,Bangladesh,,,,,,,,,Vibrio cholerae
45244055,SAMN45244055,,BFS948,,Homo sapiens,2021-06-14,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244054,SAMN45244054,,BFS947,,Homo sapiens,2021-06-14,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244053,SAMN45244053,,BFS938,,Homo sapiens,2021-03-14,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244052,SAMN45244052,,BFS904,,Homo sapiens,2021-02-11,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244051,SAMN45244051,,BFS902,,Homo sapiens,2020-10-07,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244050,SAMN45244050,,BFS901,,Homo sapiens,2020-02-05,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244049,SAMN45244049,,BFS898,,Homo sapiens,2020-10-24,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244048,SAMN45244048,,BFS892,,Homo sapiens,2020-09-17,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244047,SAMN45244047,,BFS890,,Homo sapiens,2020-10-22,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244046,SAMN45244046,,BFS889,,Homo sapiens,2020-10-20,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244045,SAMN45244045,,BFS888,,Homo sapiens,2020-09-24,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244044,SAMN45244044,,BFS887,,Homo sapiens,2020-09-23,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244043,SAMN45244043,,BFS886,,Homo sapiens,2020-01-15,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244042,SAMN45244042,,BFS885,,Homo sapiens,2021-06-13,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244041,SAMN45244041,,BFS883,,Homo sapiens,2021-06-10,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244040,SAMN45244040,,BFS882,,Homo sapiens,2021-06-08,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244039,SAMN45244039,,BFS881,,Homo sapiens,2021-06-07,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244038,SAMN45244038,,BFS880,,Homo sapiens,2021-03-08,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244037,SAMN45244037,,BFS877,,Homo sapiens,2021-01-09,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
45244036,SAMN45244036,,BFS873,,Homo sapiens,2021-05-23,Bangladesh: Mathbaria,,,,,,,,,Vibrio cholerae
45244035,SAMN45244035,,BFS872,,Homo sapiens,2021-05-08,Bangladesh: Mathbaria,,,,,,,,,Vibrio cholerae
45244034,SAMN45244034,,BFS870,,Homo sapiens,2021-05-02,Bangladesh: Mathbaria,,,,,,,,,Vibrio cholerae
45244033,SAMN45244033,,BFS869,,Homo sapiens,2021-04-19,Bangladesh: Mathbaria,,,,,,,,,Vibrio cholerae
45244032,SAMN45244032,,BFS868,,Homo sapiens,2021-03-27,Bangladesh: Mathbaria,,,,,,,,,Vibrio cholerae
45244031,SAMN45244031,,BFS867,,Homo sapiens,2021-02-09,Bangladesh: Dhaka,,,,,,,,,Vibrio cholerae
