antibiotic,genome_name,evidence,computational_method,owner,computational_method_performance,public,measurement,taxon_id,genome_id,measurement_value,measurement_unit,computational_method_version,id,date_inserted,date_modified,_version_,resistant_phenotype,laboratory_typing_method,pmid,laboratory_typing_platform,measurement_sign,vendor,testing_standard,testing_standard_year
trimethoprim/sulfamethoxazole,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.81, CI[0.76, 0.85]",True,128.0,566546,566546.53,128.0,mg/L,202503101,98b466ed-09cf-4b6c-a9c5-80629905ffc2,2025-07-14T21:11:15.037Z,2025-07-14T21:11:15.037Z,1840540449767424000,,,,,,,,
trimethoprim/sulfamethoxazole,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.94, CI[0.94, 0.95]",True,,566546,566546.53,,,202503101,7441e414-5d44-4417-a55b-3fbff2941bd5,2025-07-14T21:46:54.279Z,2025-07-14T21:46:54.279Z,1840540479339364400,Resistant,,,,,,,
amoxicillin/clavulanic acid,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.97, CI[0.96, 0.98]",True,4.0,566546,566546.53,4.0,mg/L,202503101,0952e6f4-2e48-40d3-9f00-2baabf6906cb,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
amikacin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.97, CI[0.96, 0.98]",True,2.0,566546,566546.53,2.0,mg/L,202503101,0876819e-51d8-4385-9eaa-70308f84fe8f,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
ampicillin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.87, CI[0.82, 0.92]",True,8.0,566546,566546.53,8.0,mg/L,202503101,7ff69dcb-3ebd-4883-9959-e52db3eec079,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
aztreonam,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.61, CI[0.50, 0.73]",True,2.0,566546,566546.53,2.0,mg/L,202503101,add4fcb1-1741-440f-8aaf-ebeb771da51f,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
ceftazidime,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.88, CI[0.86, 0.90]",True,4.0,566546,566546.53,4.0,mg/L,202503101,c54a596e-9d8c-409e-8a2a-5a0770c7c419,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
cefazolin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.86, CI[0.82, 0.90]",True,16.0,566546,566546.53,16.0,mg/L,202503101,48d204ba-a406-4f5c-8c53-3b52bf6561dc,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
chloramphenicol,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.77, CI[0.71, 0.83]",True,16.0,566546,566546.53,16.0,mg/L,202503101,3430f0e8-50e3-41f3-9887-947d7db8ae19,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
ciprofloxacin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.95, CI[0.93, 0.97]",True,0.25,566546,566546.53,0.25,mg/L,202503101,0314cdde-6c6c-499b-a360-f55e56adfcb6,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
ceftriaxone,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.83, CI[0.74, 0.91]",True,1.0,566546,566546.53,1.0,mg/L,202503101,53b20377-ac91-4660-bbe5-7d3abd065881,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264958926800,,,,,,,,
colistin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.80, CI[0.64, 0.96]",True,1.0,566546,566546.53,1.0,mg/L,202503101,7b2c5321-7ac8-456e-b9aa-ee1f000f3284,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
cefotetan,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 1.00, CI[1.00, 1.00]",True,32.0,566546,566546.53,32.0,mg/L,202503101,b6b338de-752c-4b69-93aa-c868dd61d720,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
cefotaxime,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.90, CI[0.88, 0.91]",True,1.0,566546,566546.53,1.0,mg/L,202503101,755ee0aa-2faf-4153-a520-dc94adf75e72,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
cefuroxime,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.62, CI[0.26, 0.97]",True,8.0,566546,566546.53,8.0,mg/L,202503101,24b52cc0-9b6f-4e31-92a5-a74c6ccb9aa4,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
doripenem,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.56, CI[0.34, 0.79]",True,0.25,566546,566546.53,0.25,mg/L,202503101,fdc3a895-17ac-49af-bc51-47e12c4140da,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
ertapenem,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.77, CI[0.66, 0.89]",True,0.5,566546,566546.53,0.5,mg/L,202503101,ddd9e1dc-5df9-4f14-a1a7-c4ab779e24cc,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
cefepime,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.73, CI[0.68, 0.78]",True,1.0,566546,566546.53,1.0,mg/L,202503101,31a177a2-9ed0-4b3a-a9cd-cc2620ab0d99,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
fosfomycin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.77, CI[0.60, 0.94]",True,32.0,566546,566546.53,32.0,mg/L,202503101,e7698ca9-35f3-4091-b209-ac3791ca5e6b,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
