gene,drug_class,coverage,matching_kmers,total_kmers,biosample_id
aph(3')-IIb_2_CP006832,aminoglycoside,0.358,556,1554,40889915
blaOXA-395_1_AY306133,beta-lactam,0.48,728,1518,40889915
blaOXA-396_1_AY306134,beta-lactam,0.358,543,1518,40889915
blaOXA-485_1_LLNM01000004,beta-lactam,0.341,518,1518,40889915
blaOXA-486_1_AY597426,beta-lactam,0.317,481,1518,40889915
blaOXA-488_1_CP017969,beta-lactam,0.333,506,1518,40889915
blaOXA-494_1_AY597430,beta-lactam,0.34,516,1518,40889915
blaOXA-50_1_AY306130,beta-lactam,0.381,578,1518,40889915
blaPAO_1_AY083595,beta-lactam,0.429,999,2328,40889915
blaPAO_2_FJ666065,beta-lactam,0.416,968,2328,40889915
blaPAO_3_FJ666073,beta-lactam,0.427,993,2328,40889915
blaPAO_4_AY083592,beta-lactam,0.429,999,2328,40889915
fosA_4_ACWU01000146,fosfomycin,0.442,334,756,40889915
catB7_1_AF036933,phenicol,0.322,392,1218,40889915
tet(C)_2_AY046276,tetracycline,0.493,1130,2292,40889915
tet(C)_3_AF055345,tetracycline,0.487,1130,2322,40889915
aac(6')-Ian_1_AP014611,aminoglycoside,0.5,543,1086,54529271
aph(6)-Id_1_M28829,aminoglycoside,0.5,807,1614,54529271
aph(6)-Id_3_AB109805,aminoglycoside,0.462,745,1614,54529271
aph(6)-Id_4_CP000971,aminoglycoside,0.481,770,1602,54529271
aph(6)-Id_5_18676889,aminoglycoside,0.481,776,1614,54529271
aph(3'')-Ib_1_M28829,aminoglycoside,0.458,709,1548,54529271
aph(3'')-Ib_3_AF321550,aminoglycoside,0.48,743,1548,54529271
aph(3'')-Ib_4_AF313472,aminoglycoside,0.48,743,1548,54529271
aph(3'')-Ib_2_AF024602,aminoglycoside,0.499,773,1548,54529271
aph(3'')-Ib_5_AF321551,aminoglycoside,0.48,743,1548,54529271
aph(6)-Id_2_AF024602,aminoglycoside,0.481,776,1614,54529271
blaOXA-336_1_KF048907,beta-lactam,0.481,764,1590,54529271
blaOXA-338_1_KF048909,beta-lactam,0.304,483,1590,54529271
blaOXA-342_1_KF048915,beta-lactam,0.336,534,1590,54529271
blaOXA-343_1_KF048916,beta-lactam,0.37,588,1590,54529271
blaOXA-344_1_KF048917,beta-lactam,0.306,487,1590,54529271
blaOXA-345_1_KF048918,beta-lactam,0.367,583,1590,54529271
blaOXA-366_1_KP050485,beta-lactam,0.48,761,1584,54529271
blaOXA-375_1_KF986256,beta-lactam,0.375,597,1590,54529271
blaOXA-381_1_KJ135344,beta-lactam,0.304,483,1590,54529271
blaOXA-382_1_KJ135345,beta-lactam,0.306,487,1590,54529271
blaOXA-383_1_KF986262,beta-lactam,0.32,509,1590,54529271
blaOXA-398_1_KM087842,beta-lactam,0.48,761,1584,54529271
blaOXA-403_1_KJ920337,beta-lactam,0.316,502,1590,54529271
blaOXA-422_1_KM433671,beta-lactam,0.48,761,1584,54529271
blaOXA-423_1_KM433672,beta-lactam,0.461,730,1584,54529271
blaOXA-425_1_KM588353,beta-lactam,0.461,733,1590,54529271
blaOXA-435_1_KP144324,beta-lactam,0.48,761,1584,54529271
blaOXA-440_1_KP727574,beta-lactam,0.48,761,1584,54529271
blaOXA-480_1_KR872296,beta-lactam,0.486,773,1590,54529271
blaOXA-482_1_KP264124,beta-lactam,0.48,761,1584,54529271
blaOXA-483_1_KP264125,beta-lactam,0.48,761,1584,54529271
blaOXA-507_1_KU551305,beta-lactam,0.321,510,1590,54529271
blaOXA-508_1_KU596972,beta-lactam,0.492,782,1590,54529271
blaOXA-510_1_JX865393,beta-lactam,0.301,478,1590,54529271
blaOXA-511_1_KU710720,beta-lactam,0.387,616,1590,54529271
blaOXA-516_1_KU871391,beta-lactam,0.311,494,1590,54529271
blaOXA-521_1_KX462701,beta-lactam,0.376,598,1590,54529271
blaOXA-525_1_KX599406,beta-lactam,0.461,733,1590,54529271
blaOXA-536_1_KX859240,beta-lactam,0.481,764,1590,54529271
blaOXA-23_1_AY795964,beta-lactam,0.5,792,1584,54529271
blaOXA-27_1_AF201828,beta-lactam,0.441,699,1584,54529271
blaOXA-49_1_AY288523,beta-lactam,0.462,734,1590,54529271
blaOXA-64_1_AY750907,beta-lactam,0.308,489,1590,54529271
blaOXA-65_1_AY750908,beta-lactam,0.454,722,1590,54529271
blaOXA-66_1_AY750909,beta-lactam,0.5,795,1590,54529271
blaOXA-69_1_AY859527,beta-lactam,0.321,510,1590,54529271
blaOXA-73_1_AY762325,beta-lactam,0.48,761,1584,54529271
blaOXA-76_1_AY949203,beta-lactam,0.489,777,1590,54529271
blaOXA-79_1_EU019534,beta-lactam,0.481,764,1590,54529271
blaOXA-80_1_EU019535,beta-lactam,0.481,764,1590,54529271
blaOXA-82_1_DQ987479,beta-lactam,0.481,764,1590,54529271
blaOXA-83_1_DQ309277,beta-lactam,0.481,764,1590,54529271
