biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54876027,SAMN54876027,,FSIS22619863,chicken carcass,,2026,USA:NY,,,,,,,,,Salmonella enterica
54876026,SAMN54876026,,FSIS22619864,chicken carcass,,2026,USA:MI,,,,,,,,,Salmonella enterica
54876025,SAMN54876025,,FSIS22619858,raw intact chicken,,2026,USA:PA,,,,,,,,,Salmonella enterica
54876024,SAMN54876024,,FSIS22619855,animal-cattle-dairy cow,,2026,USA:ID,,,,,,,,,Salmonella enterica
54876023,SAMN54876023,,FSIS22619856,raw intact chicken,,2026,USA:NY,,,,,,,,,Salmonella enterica
54876022,SAMN54876022,,FSIS22619859,comminuted chicken,,2026,USA:CA,,,,,,,,,Salmonella enterica
54876021,SAMN54876021,,FSIS22619851,raw intact chicken,,2026,USA:SC,,,,,,,,,Salmonella enterica
54876020,SAMN54876020,,FSIS22619850,raw intact chicken,,2026,USA:AR,,,,,,,,,Salmonella enterica
54876019,SAMN54876019,,FSIS22619848,comminuted chicken,,2026,USA:SC,,,,,,,,,Salmonella enterica
54876018,SAMN54876018,,FSIS22619847,comminuted chicken,,2026,USA:KS,,,,,,,,,Salmonella enterica
54876017,SAMN54876017,,FSIS22619845,raw intact chicken,,2026,USA:NC,,,,,,,,,Salmonella enterica
54876016,SAMN54876016,,FSIS22619844,Comminuted Turkey,,2026,USA:IN,,,,,,,,,Salmonella enterica
54875973,SAMN54875973,,FSIS22619841,Nonintact Chicken,,2026,USA:MI,,,,,,,,,Salmonella enterica
54875972,SAMN54875972,,FSIS22619842,raw intact chicken,,2026,USA:NY,,,,,,,,,Salmonella enterica
54875960,SAMN54875960,,FSIS22619839,raw intact chicken,,2026,USA:CA,,,,,,,,,Salmonella enterica
54875959,SAMN54875959,,FSIS22619838,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork",,2026,USA:IL,,,,,,,,,Salmonella enterica
54875864,SAMN54875864,,FSIS22619814,comminuted chicken,,2026,USA:NC,,,,,,,,,Salmonella enterica
54875780,SAMN54875780,,FSIS22619812,raw intact chicken,,2026,USA:VA,,,,,,,,,Salmonella enterica
54875779,SAMN54875779,,FSIS22619808,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork",,2026,USA:MO,,,,,,,,,Salmonella enterica
54875778,SAMN54875778,,FSIS22619809,raw intact chicken,,2026,USA:NY,,,,,,,,,Salmonella enterica
54875777,SAMN54875777,,FSIS22619811,chicken - young chicken carcass rinse (post-chill),,2026,USA:NY,,,,,,,,,Salmonella enterica
54875747,SAMN54875747,,FSIS22619805,animal-cattle-dairy cow,,2026,USA:ID,,,,,,,,,Salmonella enterica
54875746,SAMN54875746,,FSIS22619806,animal-cattle-steer,,2026,USA:MI,,,,,,,,,Salmonella enterica
54875676,SAMN54875676,,FSIS22619860,comminuted beef,,2026,USA:NE,,,,,,,,,Salmonella enterica
54875675,SAMN54875675,,FSIS22619857,Nonintact Chicken,,2026,USA:MI,,,,,,,,,Salmonella enterica
54875674,SAMN54875674,,FSIS22619853,comminuted chicken,,2026,USA:NE,,,,,,,,,Salmonella enterica
54875672,SAMN54875672,,FSIS22619846,raw intact chicken,,2026,USA:CA,,,,,,,,,Salmonella enterica
