biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54875024,SAMN54875024,,PNUSAE221323,stool,,2026-01-07,USA,,,,,,,,,Escherichia coli
54875022,SAMN54875022,,PNUSAE221322,stool,,2026-01-09,USA,,,,,,,,,Escherichia coli
54875019,SAMN54875019,,PNUSAE221320,stool,,2025-12-31,USA,,,,,,,,,Escherichia coli
54874631,SAMN54874631,,PNUSAE221325,stool,,2026-01-04,USA,,,,,,,,,Escherichia coli
54874628,SAMN54874628,,PNUSAE221321,stool,,2025-12-30,USA,,,,,,,,,Escherichia coli
54874236,SAMN54874236,,PNUSAE221318,missing,,2025,USA,,,,,,,,,Escherichia coli
54874235,SAMN54874235,,PNUSAE221319,missing,,2026,USA,,,,,,,,,Escherichia coli
54874232,SAMN54874232,,PNUSAE221317,missing,,2025,USA,,,,,,,,,Escherichia coli
54874182,SAMN54874182,,PNUSAE221316,missing,,2026,USA,,,,,,,,,Escherichia coli
54874155,SAMN54874155,,PNUSAE221315,missing,,2026,USA,,,,,,,,,Escherichia coli
54873388,SAMN54873388,,PNUSAE221313,missing,,2025,USA,,,,,,,,,Escherichia coli
54873387,SAMN54873387,,PNUSAE221303,missing,,2026,USA,,,,,,,,,Escherichia coli
54873383,SAMN54873383,,PNUSAE221314,missing,,2025,USA,,,,,,,,,Escherichia coli
54872973,SAMN54872973,,PNUSAE221312,missing,,2026,USA,,,,,,,,,Escherichia coli
54872887,SAMN54872887,,PNUSAE221302,missing,,2026,USA,,,,,,,,,Escherichia coli
54807666,SAMN54807666,,,Vaginal swab,Cattle,2025-09-01,Bangladesh:Dhaka,,,,,,,,,Escherichia coli
54804728,SAMN54804728,,,Vaginal swab,Goat,2025-09-01,Bangladesh:Dhaka,,,,,,,,,Escherichia coli
54872811,SAMN54872811,,PNUSAE221310,Missing,,2025,USA,,,,,,,,,Escherichia coli
54872799,SAMN54872799,,PNUSAE221311,Missing,,2026,USA,,,,,,,,,Escherichia coli
54872798,SAMN54872798,,PNUSAE221309,Missing,,2026,USA,,,,,,,,,Escherichia coli
54872761,SAMN54872761,,4717,feces,Homo sapiens,2022-06-16,"China: Zhejiang, Hangzhou",,,,,,,,,Escherichia coli
54872693,SAMN54872693,,PNUSAE221307,missing,,2025,USA,,,,,,,,,Escherichia coli
54872595,SAMN54872595,,PNUSAE221305,missing,,2025,USA,,,,,,,,,Escherichia coli
54872249,SAMN54872249,,PNUSAE221306,missing,,2026,USA,,,,,,,,,Escherichia coli
54872248,SAMN54872248,,PNUSAE221292,missing,,2025,USA,,,,,,,,,Escherichia coli
54872244,SAMN54872244,,PNUSAE221304,missing,,2026-01-11,USA,,,,,,,,,Escherichia coli
54872197,SAMN54872197,,PNUSAE221289,missing,,2025,USA,,,,,,,,,Escherichia coli
54872194,SAMN54872194,,PNUSAE221291,missing,,2025,USA,,,,,,,,,Escherichia coli
54872192,SAMN54872192,,PNUSAE221298,missing,,2025,USA,,,,,,,,,Escherichia coli
54872191,SAMN54872191,,PNUSAE221297,missing,,2025,USA,,,,,,,,,Escherichia coli
54872166,SAMN54872166,,PNUSAE221293,missing,,2025,USA,,,,,,,,,Escherichia coli
54872165,SAMN54872165,,PNUSAE221290,missing,,2025,USA,,,,,,,,,Escherichia coli
54872164,SAMN54872164,,PNUSAE221301,missing,,2025,USA,,,,,,,,,Escherichia coli
54872163,SAMN54872163,,PNUSAE221300,missing,,2025,USA,,,,,,,,,Escherichia coli
54872162,SAMN54872162,,PNUSAE221296,missing,,2025,USA,,,,,,,,,Escherichia coli
54872161,SAMN54872161,,PNUSAE221299,missing,,2025,USA,,,,,,,,,Escherichia coli
54871786,SAMN54871786,,PNUSAE221295,missing,,2025,USA,,,,,,,,,Escherichia coli
54871785,SAMN54871785,,PNUSAE221294,missing,,2025,USA,,,,,,,,,Escherichia coli
54871275,SAMN54871275,,PNUSAE221288,missing,,2025,USA,,,,,,,,,Escherichia coli
54871217,SAMN54871217,,PNUSAE221287,missing,,2025,USA,,,,,,,,,Escherichia coli
54870991,SAMN54870991,,PNUSAE221285,missing,,2026,USA,,,,,,,,,Escherichia coli
54870972,SAMN54870972,,PNUSAE221284,missing,,2025,USA,,,,,,,,,Escherichia coli
54870887,SAMN54870887,,PNUSAE221278,missing,,2025,USA,,,,,,,,,Escherichia coli
54870559,SAMN54870559,,2026EP-00019,sputum,Homo sapiens,2025,USA,,,,,,,,,Escherichia coli
54870226,SAMN54870226,,PNUSAE221283,missing,,2025,USA,,,,,,,,,Escherichia coli
54870225,SAMN54870225,,PNUSAE221282,missing,,2025,USA,,,,,,,,,Escherichia coli
54870181,SAMN54870181,,PNUSAE221279,missing,,2025,USA,,,,,,,,,Escherichia coli
54870180,SAMN54870180,,PNUSAE221281,missing,,2025,USA,,,,,,,,,Escherichia coli
54870176,SAMN54870176,,PNUSAE221277,missing,,2025,USA,,,,,,,,,Escherichia coli
54870050,SAMN54870050,,,urine,Homo sapiens,2026,USA,,,,,,,,,Escherichia coli
