biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54875958,SAMN54875958,,FSIS22619828,raw intact chicken,,2026,USA:WA,,,,,,,,,Campylobacter jejuni
54875909,SAMN54875909,,FSIS22619821,raw intact chicken,,2026,USA:MO,,,,,,,,,Campylobacter jejuni
54875862,SAMN54875862,,FSIS22619819,raw intact chicken,,2026,USA:MN,,,,,,,,,Campylobacter jejuni
54875743,SAMN54875743,,FSIS22619770,chicken - young chicken carcass rinse (post-chill),,2025,USA:OK,,,,,,,,,Campylobacter jejuni
54875678,SAMN54875678,,FSIS22619781,raw intact chicken,,2025,USA:NC,,,,,,,,,Campylobacter jejuni
54875668,SAMN54875668,,FSIS22619820,chicken - young chicken carcass rinse (post-chill),,2026,USA:MS,,,,,,,,,Campylobacter jejuni
54875667,SAMN54875667,,FSIS22619823,raw intact chicken,,2026,USA:MS,,,,,,,,,Campylobacter jejuni
54875660,SAMN54875660,,FSIS22619774,chicken - young chicken carcass rinse (post-chill),,2025,USA:AL,,,,,,,,,Campylobacter jejuni
54875656,SAMN54875656,,FSIS22619772,chicken - young chicken carcass rinse (post-chill),,2025,USA:TX,,,,,,,,,Campylobacter jejuni
54875464,SAMN54875464,,FSIS22619769,raw intact chicken,,2025,USA:AL,,,,,,,,,Campylobacter jejuni
54875463,SAMN54875463,,FSIS22619818,chicken - young chicken carcass rinse (post-chill),,2026,USA:CA,,,,,,,,,Campylobacter jejuni
54875460,SAMN54875460,,FSIS22619764,chicken - young chicken carcass rinse (post-chill),,2025,USA:GA,,,,,,,,,Campylobacter jejuni
54875411,SAMN54875411,,FSIS22619779,chicken - young chicken carcass rinse (post-chill),,2025,USA:AR,,,,,,,,,Campylobacter jejuni
54875370,SAMN54875370,,FSIS22619831,chicken - young chicken carcass rinse (post-chill),,2026,USA:TX,,,,,,,,,Campylobacter jejuni
54875368,SAMN54875368,,FSIS22619832,chicken - young chicken carcass rinse (post-chill),,2026,USA:MS,,,,,,,,,Campylobacter jejuni
54875366,SAMN54875366,,FSIS22619826,chicken - young chicken carcass rinse (post-chill),,2026,USA:LA,,,,,,,,,Campylobacter jejuni
54872867,SAMN54872867,,PNUSAC061849,stool,,2026-01-05,USA,,,,,,,,,Campylobacter jejuni
54872813,SAMN54872813,,PNUSAC061851,stool,,2026-01-07,USA,,,,,,,,,Campylobacter jejuni
54872812,SAMN54872812,,PNUSAC061850,stool,,2026-01-07,USA,,,,,,,,,Campylobacter jejuni
54871281,SAMN54871281,,FSIS12642652,Animal-Cattle-Heifer (cecal),,2026,USA:OK,,,,,,,,,Campylobacter jejuni
54871278,SAMN54871278,,FSIS12642544,raw intact chicken,,2026,USA:CA,,,,,,,,,Campylobacter jejuni
54871277,SAMN54871277,,FSIS12642549,raw intact chicken,,2026,USA:GA,,,,,,,,,Campylobacter jejuni
54871153,SAMN54871153,,FSIS12642651,Animal-Cattle-Beef Cow (cecal),,2026,USA:WI,,,,,,,,,Campylobacter jejuni
54871152,SAMN54871152,,FSIS12642645,Animal-Cattle-Steer (cecal),,2026,USA:IA,,,,,,,,,Campylobacter jejuni
54871146,SAMN54871146,,FSIS12642550,Nonintact Chicken,,2026,USA:GA,,,,,,,,,Campylobacter jejuni
54871139,SAMN54871139,,FSIS12642533,Animal-Cattle-Dairy Cow (cecal),,2025,USA:PA,,,,,,,,,Campylobacter jejuni
54871126,SAMN54871126,,FSIS12642529,Animal-Chicken-Young Chicken (cecal),,2025,USA:MS,,,,,,,,,Campylobacter jejuni
54871063,SAMN54871063,,FSIS12642531,Animal-Cattle-Heifer (cecal),,2025,USA:NE,,,,,,,,,Campylobacter jejuni
54871021,SAMN54871021,,FSIS12642548,raw intact chicken,,2026,USA:IL,,,,,,,,,Campylobacter jejuni
54871009,SAMN54871009,,FSIS12642530,Animal-Cattle-Heifer (cecal),,2025,USA:OH,,,,,,,,,Campylobacter jejuni
54870985,SAMN54870985,,FSIS12642525,Animal-Cattle-Beef Cow (cecal),,2025,USA:GA,,,,,,,,,Campylobacter jejuni
54870969,SAMN54870969,,FSIS12642522,Animal-Cattle-Beef Cow (cecal),,2025,USA:IN,,,,,,,,,Campylobacter jejuni
54870968,SAMN54870968,,FSIS12642523,Animal-Cattle-Heifer (cecal),,2025,USA:TX,,,,,,,,,Campylobacter jejuni
54870731,SAMN54870731,,FSIS12642519,Animal-Cattle-Steer (cecal),,2025,USA:TX,,,,,,,,,Campylobacter jejuni
54870730,SAMN54870730,,FSIS12642442,Animal-Cattle-Dairy Cow (cecal),,2025,USA:WA,,,,,,,,,Campylobacter jejuni
54870727,SAMN54870727,,FSIS12541997,Animal-Chicken-Young Chicken (cecal),,2025,USA:CA,,,,,,,,,Campylobacter jejuni
54870726,SAMN54870726,,FSIS12541885,Animal-Cattle-Heifer (cecal),,2025,USA:TX,,,,,,,,,Campylobacter jejuni
54870724,SAMN54870724,,FSIS12541254,Animal-Cattle-Steer (cecal),,2025,USA:IL,,,,,,,,,Campylobacter jejuni
54870547,SAMN54870547,,PNUSAC061841,missing,,2025,USA,,,,,,,,,Campylobacter jejuni
54870428,SAMN54870428,,PNUSAC061846,missing,,2025,USA,,,,,,,,,Campylobacter jejuni
54870293,SAMN54870293,,PNUSAC061845,missing,,2025,USA,,,,,,,,,Campylobacter jejuni
54870021,SAMN54870021,,PNUSAC061838,missing,,2026,USA,,,,,,,,,Campylobacter jejuni
54869980,SAMN54869980,,PNUSAC061847,missing,,2025,USA,,,,,,,,,Campylobacter jejuni
54869962,SAMN54869962,,PNUSAC061839,missing,,2026,USA,,,,,,,,,Campylobacter jejuni
54803283,SAMN54803283,,01896501,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,,,,,Campylobacter jejuni
54803279,SAMN54803279,,01896504,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,,,,,Campylobacter jejuni
54803058,SAMN54803058,,01896503,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,,,,,Campylobacter jejuni
54803743,SAMN54803743,,PNUSAC061837,stool,,2025,USA,,,,,GCA_054657035.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/657/035/GCA_054657035.1_PDT003064319.1,Campylobacter jejuni
54803742,SAMN54803742,,PNUSAC061835,stool,,2025,USA,,,,,GCA_054657055.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/657/055/GCA_054657055.1_PDT003064318.1,Campylobacter jejuni
54803681,SAMN54803681,,PNUSAC061836,stool,,2025,USA,,,,,GCA_054657165.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/657/165/GCA_054657165.1_PDT003064316.1,Campylobacter jejuni
54768366,SAMN54768366,,01895247,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054622955.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/622/955/GCA_054622955.1_PDT003062318.1,Campylobacter jejuni
54768332,SAMN54768332,,01895245,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623155.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/155/GCA_054623155.1_PDT003062314.1,Campylobacter jejuni
54768331,SAMN54768331,,01895243,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623015.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/015/GCA_054623015.1_PDT003062316.1,Campylobacter jejuni
54768318,SAMN54768318,,01895233,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623115.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/115/GCA_054623115.1_PDT003062313.1,Campylobacter jejuni
54768316,SAMN54768316,,01895240,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623175.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/175/GCA_054623175.1_PDT003062312.1,Campylobacter jejuni
54768157,SAMN54768157,,01894089,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623595.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/595/GCA_054623595.1_PDT003062308.1,Campylobacter jejuni
54768154,SAMN54768154,,01895077,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623215.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/215/GCA_054623215.1_PDT003062311.1,Campylobacter jejuni
54768152,SAMN54768152,,01894086,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623615.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/615/GCA_054623615.1_PDT003062310.1,Campylobacter jejuni
54768150,SAMN54768150,,01894091,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623575.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/575/GCA_054623575.1_PDT003062309.1,Campylobacter jejuni
54768149,SAMN54768149,,01895236,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623675.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/675/GCA_054623675.1_PDT003062306.1,Campylobacter jejuni
54768147,SAMN54768147,,01894088,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623735.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/735/GCA_054623735.1_PDT003062305.1,Campylobacter jejuni
54768143,SAMN54768143,,01895238,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623955.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/955/GCA_054623955.1_PDT003062299.1,Campylobacter jejuni
54768142,SAMN54768142,,01895246,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623895.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/895/GCA_054623895.1_PDT003062301.1,Campylobacter jejuni
54768139,SAMN54768139,,01895239,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623775.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/775/GCA_054623775.1_PDT003062303.1,Campylobacter jejuni
54768138,SAMN54768138,,01895241,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054623835.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/623/835/GCA_054623835.1_PDT003062302.1,Campylobacter jejuni
54769896,SAMN54769896,,PNUSAC061834,missing,,2026,USA,,,,,GCA_054598105.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/598/105/GCA_054598105.1_PDT003062228.1,Campylobacter jejuni
54769191,SAMN54769191,,PNUSAC061832,stool,,2025,USA,,,,,GCA_054593935.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/593/935/GCA_054593935.1_PDT003062150.1,Campylobacter jejuni
