assembly_accession,bioproject_accession,biosample_accession,cell_shape,class,common_name,completion_date,contigs,culture_collection,date_inserted,date_modified,family,gc_content,genbank_accessions,genome_id,genome_length,genome_name,genome_status,genus,gram_stain,habitat,kingdom,motility,order,owner,oxygen_requirement,patric_cds,phylum,plasmids,public,publication,refseq_cds,sequencing_centers,species,strain,taxon_id,temperature_range,superkingdom,cds,sequencing_status,taxon_lineage_ids,comments,taxon_lineage_names,_version_,contig_n50,hypothetical_cds_ratio,contig_l50,rrna,partial_cds_ratio,lab_host,trna,chromosomes,host_name,cds_ratio,partial_cds,plfam_cds_ratio,disease,checkm_completeness,checkm_contamination,coarse_consistency,fine_consistency,genome_quality,hypothetical_cds,mlst,p2_genome_id,plfam_cds,genome_quality_flags,assembly_method,ncbi_project_id,organism_name,refseq_accessions,sequencing_depth,sequencing_platform,serovar,optimal_temperature,refseq_project_id,sporulation,cgmlst_id,cgmlst_hc0,cgmlst_hc2,cgmlst_hc5,cgmlst_hc10,cgmlst_hc20,cgmlst_hc50,cgmlst_hc100,collection_year,collection_date,geographic_location,host_common_name,host_group,host_health,isolation_country,isolation_source,host_scientific_name,geographic_group,pathovar,additional_metadata,type_strain,isolation_comments,other_clinical,passage,other_typing,sra_accession,state_province,antimicrobial_resistance_evidence,body_sample_site,antimicrobial_resistance,host_age,host_gender,other_environmental,salinity,reference_genome,longitude,latitude,isolation_site
GCA_000184185.1,PRJNA48011,SAMN02602978,Bacilli,Gammaproteobacteria,Escherichia_coli_W,2016-07-25T00:00:00Z,1,ATCC:9637,2017-12-29T21:45:17.926Z,2017-12-29T21:45:17.926Z,Enterobacteriaceae,46.03,CP002187,566546.53,5360,Escherichia coli W,Plasmid,Escherichia,Negative,Multiple,Pseudomonadati,No,Enterobacterales,PATRIC@patricbrc.org,Facultative,9.0,Pseudomonadota,1.0,True,21208457,14.0,Australian Institute for Bioengineering & Nanotechnology,Escherichia coli,W,566546,Mesophilic,Bacteria,9,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '566546']",['Escherichia coli W. This strain is available from the ATCC 9637 Escherichia coli W (ATCC 9637) is the only native sucrose utilizing laboratory strain of E. coli. It has been used to study E. coli metabolism and for the production of bulk chemicals.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli W']",1818556712571895800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000184185.1,PRJNA48011,SAMN02602978,Bacilli,Gammaproteobacteria,Escherichia_coli_W,2016-07-25T00:00:00Z,1,ATCC:9637,2017-12-29T21:45:18.042Z,2017-12-29T21:45:18.042Z,Enterobacteriaceae,49.95,CP002186,566546.52,102536,Escherichia coli W,Plasmid,Escherichia,Negative,Multiple,Pseudomonadati,No,Enterobacterales,PATRIC@patricbrc.org,Facultative,129.0,Pseudomonadota,1.0,True,21208457,115.0,Australian Institute for Bioengineering & Nanotechnology,Escherichia coli,W,566546,Mesophilic,Bacteria,129,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '566546']",['Escherichia coli W. This strain is available from the ATCC 9637 Escherichia coli W (ATCC 9637) is the only native sucrose utilizing laboratory strain of E. coli. It has been used to study E. coli metabolism and for the production of bulk chemicals.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli W']",1818556713383493600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Escherichia_coli_phage_EH297,2003-03-03T00:00:00Z,1,,2025-12-07T19:02:09.291Z,2025-12-07T19:02:09.291Z,,46.442432,AJ431361,187176.60,2320,Escherichia coli phage EH297 K-12,WGS,,,,,,,BVBRC@patricbrc.org,,3.0,,0.0,True,,3.0,,Escherichia coli phage EH297,K-12,187176,,,3,,"['10239', '12333', '187176']",,"['Viruses', 'unclassified bacterial viruses', 'Escherichia coli phage EH297']",1850877284755439600,2320.0,0.0,1.0,0.0,0.0,Escherichia coli K12,0.0,0.0,Escherichia coli clinical isolate eh297,1.2931035,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000027125.1,PRJEA40647,SAMEA2272277,Bacilli,Gammaproteobacteria,Escherichia_coli_042,2016-07-25T00:00:00Z,1,,2017-12-30T06:13:22.076Z,2017-12-30T06:13:22.076Z,Enterobacteriaceae,49.55,FN554767,216592.31,113346,Escherichia coli 042,Plasmid,Escherichia,Negative,HostAssociated,Pseudomonadati,Yes,Enterobacterales,PATRIC@patricbrc.org,Facultative,177.0,Pseudomonadota,1.0,True,20098708,152.0,Wellcome Trust Sanger Institute,Escherichia coli,042,216592,Mesophilic,Bacteria,177,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '861906', '216592']",['Escherichia coli 042. This genome will be used for comparative analysis.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli O44', 'Escherichia coli 042']",1818556712986083300,,,,,,,,,,,,,['Persistent diarrhea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000529855.1,PRJEB4814,SAMEA3138867,,Gammaproteobacteria,Escherichia_coli_ISC7,,196,,2014-12-08T22:11:27.515Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,50.56,CBWN00000000,1432555.3,5184957,Escherichia coli ISC7,WGS,Escherichia,,,Pseudomonadati,,Enterobacterales,PATRIC,,6256.0,Pseudomonadota,0.0,True,,6258.0,,Escherichia coli,,1432555,,Bacteria,6256,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '1432555']",['many frameshifted proteins'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli ISC7']",1818556718566604800,64911.0,0.13,27.0,28.0,0.0,,75.0,0.0,,1.21,0.0,1.0,,99.6,20.3,99.3,85.1,Poor,815.0,"MLST.Escherichia_coli_1.602,MLST.Escherichia_coli_2.534",323234.0,6254.0,['High CheckM contamination score'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000496345.2,PRJNA221236,SAMN02469304,Bacilli,Gammaproteobacteria,Escherichia_coli_ATCC_BAA-2192,,829,ATCC BAA-2192,2014-12-08T22:11:21.844Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,50.26,AYGW00000000,1404261.3,10619168,Escherichia coli ATCC BAA-2192,WGS,Escherichia,Negative,,Pseudomonadati,,Enterobacterales,PATRIC,,10622.0,Pseudomonadota,0.0,True,,10065.0,American Type Culture Collection,Escherichia coli,ATCC BAA-2192,1404261,,Bacteria,10622,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '1404261']",['ATCC BAA-2192 Escherichia coli O145 Genome sequencing'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli ATCC BAA-2192']",1818556715237376000,87754.0,0.14,37.0,9.0,0.0,,153.0,0.0,,1.0,0.0,1.0,,100.0,50.0,98.8,51.4,Poor,1493.0,"MLST.Escherichia_coli_1.11,MLST.Escherichia_coli_2.822",315523.0,10587.0,['High CheckM contamination score'],CLC NGS Cell v. Oct-2013,PRJNA221236,Escherichia coli ATCC BAA-2192,-,74.2x,Illumina MiSeq,O145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000010765.1,PRJDA32513,SAMD00060957,Bacilli,Gammaproteobacteria,Escherichia_coli_O111_H_str_11128,2016-10-07T00:00:00Z,1,,2017-12-29T17:15:24.669Z,2017-12-29T17:15:24.669Z,Enterobacteriaceae,48.16,AP010962,585396.33,97897,Escherichia coli O111:H- str. 11128,Plasmid,Escherichia,Negative,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,Facultative,127.0,Pseudomonadota,1.0,True,19815525,125.0,"University of Tokyo, Graduate School of Frontier Sciences",Escherichia coli,11128,585396,Mesophilic,Bacteria,127,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '168927', '585396']",['Escherichia coli O111:H- str. 11128. An enterohemorrhagic E. coli (EHEC) strain. This strain will be used for comparative genome analysis.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli O111', 'Escherichia coli O111']",1818556713041657900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O111:H-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000010765.1,PRJDA32513,SAMD00060957,Bacilli,Gammaproteobacteria,Escherichia_coli_O111_H_str_11128,2016-10-07T00:00:00Z,1,,2017-12-29T17:14:34.071Z,2017-12-29T17:14:34.071Z,Enterobacteriaceae,49.64,AP010964,585396.36,8140,Escherichia coli O111:H- str. 11128,Plasmid,Escherichia,Negative,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,Facultative,15.0,Pseudomonadota,1.0,True,19815525,10.0,"University of Tokyo, Graduate School of Frontier Sciences",Escherichia coli,11128,585396,Mesophilic,Bacteria,15,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '168927', '585396']",['Escherichia coli O111:H- str. 11128. An enterohemorrhagic E. coli (EHEC) strain. This strain will be used for comparative genome analysis.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli O111', 'Escherichia coli O111']",1818556713366716400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O111:H-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000010765.1,PRJDA32513,SAMD00060957,Bacilli,Gammaproteobacteria,Escherichia_coli_O111_H_str_11128,2016-10-07T00:00:00Z,1,,2017-12-29T17:14:49.466Z,2017-12-29T17:14:49.466Z,Enterobacteriaceae,50.2,AP010965,585396.37,6673,Escherichia coli O111:H- str. 11128,Plasmid,Escherichia,Negative,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,Facultative,10.0,Pseudomonadota,1.0,True,19815525,10.0,"University of Tokyo, Graduate School of Frontier Sciences",Escherichia coli,11128,585396,Mesophilic,Bacteria,10,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '168927', '585396']",['Escherichia coli O111:H- str. 11128. An enterohemorrhagic E. coli (EHEC) strain. This strain will be used for comparative genome analysis.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli O111', 'Escherichia coli O111']",1818556713731620900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O111:H-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000010765.1,PRJDA32513,SAMD00060957,Bacilli,Gammaproteobacteria,Escherichia_coli_O111_H_str_11128,2016-10-07T00:00:00Z,1,,2017-12-29T17:15:24.897Z,2017-12-29T17:15:24.897Z,Enterobacteriaceae,46.99,AP010961,585396.34,204604,Escherichia coli O111:H- str. 11128,Plasmid,Escherichia,Negative,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,Facultative,276.0,Pseudomonadota,1.0,True,19815525,233.0,"University of Tokyo, Graduate School of Frontier Sciences",Escherichia coli,11128,585396,Mesophilic,Bacteria,276,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '168927', '585396']",['Escherichia coli O111:H- str. 11128. An enterohemorrhagic E. coli (EHEC) strain. This strain will be used for comparative genome analysis.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli O111', 'Escherichia coli O111']",1818556713766224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O111:H-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
