biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54875673,SAMN54875673,,FSIS22619849,RTE Product,,2026,USA:WI,,,,,GCA_054694315.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/694/315/GCA_054694315.1_PDT003066867.1,Listeria monocytogenes
54873434,SAMN54873434,,FSIS12642703,"Product-RTE-Fully Cooked, Salad/Spread/Pate-Pork",,2026,USA:FL,,,,,GCA_054690515.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/690/515/GCA_054690515.1_PDT003066774.1,Listeria monocytogenes
54873433,SAMN54873433,,FSIS12642704,"Product-RTE-Fully Cooked, Salad/Spread/Pate-Pork",,2026,USA:FL,,,,,GCA_054690595.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/690/595/GCA_054690595.1_PDT003066772.1,Listeria monocytogenes
54873432,SAMN54873432,,FSIS12642701,"Product-RTE-Fully Cooked, Salad/Spread/Pate-Pork",,2026,USA:FL,,,,,GCA_054690545.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/690/545/GCA_054690545.1_PDT003066773.1,Listeria monocytogenes
54873424,SAMN54873424,,FSIS12642700,"Product-RTE-Fully Cooked, Salad/Spread/Pate-Pork",,2026,USA:FL,,,,,GCA_054690675.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/690/675/GCA_054690675.1_PDT003066767.1,Listeria monocytogenes
54873423,SAMN54873423,,FSIS12642702,"Product-RTE-Fully Cooked, Salad/Spread/Pate-Pork",,2026,USA:FL,,,,,GCA_054690645.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/690/645/GCA_054690645.1_PDT003066770.1,Listeria monocytogenes
54873404,SAMN54873404,,FSIS12642699,RTE Product,,2026,USA:NJ,,,,,GCA_054687395.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/687/395/GCA_054687395.1_PDT003066754.1,Listeria monocytogenes
54872888,SAMN54872888,,PNUSAL025961,missing,,2026,USA,,,,,GCA_054685175.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/685/175/GCA_054685175.1_PDT003066746.1,Listeria monocytogenes
54860898,SAMEA121025532,Listeria monocytogenes,,,,,,,,,,,,,,Listeria monocytogenes
54855798,SAMEA121025533,Listeria monocytogenes,,,,,,,,,,,,,,Listeria monocytogenes
54803060,SAMN54803060,,01895248,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054667075.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/667/075/GCA_054667075.1_PDT003064452.1,Listeria monocytogenes
54803059,SAMN54803059,,01895062,human,Homo sapiens,2026-01,United Kingdom: United Kingdom,,,,,GCA_054667035.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/667/035/GCA_054667035.1_PDT003064453.1,Listeria monocytogenes
54802956,SAMN54802956,,PNUSAL025960,missing,,2026,USA,,,,,GCA_054652495.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/495/GCA_054652495.1_PDT003064168.1,Listeria monocytogenes
54802805,SAMN54802805,,PNUSAL025940,missing,,2026,USA,,,,,GCA_054652475.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/475/GCA_054652475.1_PDT003064108.1,Listeria monocytogenes
54799972,SAMN54799972,,PNUSAL025954,missing,,2026,USA,,,,,GCA_054646245.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/646/245/GCA_054646245.1_PDT003063513.1,Listeria monocytogenes
54799125,SAMN54799125,,PNUSAL025953,blood,,2026,USA,,,,,GCA_054643915.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/643/915/GCA_054643915.1_PDT003063182.1,Listeria monocytogenes
54798876,SAMN54798876,,133,pork kebab in marinade,,2023-06-08,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798875,SAMN54798875,,127,chicken fillet,,2023-05-30,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798874,SAMN54798874,,126,schnitzel,,2023-05-30,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798873,SAMN54798873,,111,chicken breast fillet,,2023-05-02,Russia: Vologda,,,,,,,,,Listeria monocytogenes
54798871,SAMN54798871,,97,meatballs,,2023-04-20,Russia: Veliky Ustyug,,,,,,,,,Listeria monocytogenes
54798870,SAMN54798870,,95,kebab,,2023-04-19,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798869,SAMN54798869,,92,blood serum,Homo sapiens,2023-04-19,Russia: Vologda,,,,,,,,,Listeria monocytogenes
54798868,SAMN54798868,,88,ready-to-eat fish rolls,,2023-04-13,Russia: Vologda,,,,,,,,,Listeria monocytogenes
54798867,SAMN54798867,,84,beef cutlet,,2023-04-12,Russia: Sokol,,,,,,,,,Listeria monocytogenes
54798866,SAMN54798866,,65,homemade minced meat,,2023-04-04,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798865,SAMN54798865,,37,food processing surface,,2023-02-27,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798864,SAMN54798864,,36,raw milk,,2023-02-24,Russia: Vologda,,,,,,,,,Listeria monocytogenes
54798863,SAMN54798863,,35,raw skim milk,,2023-02-24,Russia: Vologda,,,,,,,,,Listeria monocytogenes
54798862,SAMN54798862,,27,pork kebab in marinade,,2023-02-03,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798861,SAMN54798861,,26,preserved pink salmon in oil,,2023-01-03,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798860,SAMN54798860,,25,pork kebab in marinade,,2023-02-02,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798859,SAMN54798859,,24,pork meat,,2023-01-03,Russia: Cherepovets,,,,,,,,,Listeria monocytogenes
54798858,SAMN54798858,,22,raw cream,,2023-02-01,Russia: Vologda,,,,,,,,,Listeria monocytogenes
54798853,SAMN54798853,,27982,cod fillet,,2023-10-03,Russia: Leningrad Region,,,,,,,,,Listeria monocytogenes
54798852,SAMN54798852,,155972,chilled trout fillet,,2023-08,Russia: Saint-Petersburg,,,,,,,,,Listeria monocytogenes
54798851,SAMN54798851,,141929,frozen pork tenderloin,,2023-08,Russia: Saint-Petersburg,,,,,,,,,Listeria monocytogenes
